,Description,Sentiment
96,"She's a provocative gold digging fairy princess who dreams of becoming Elvis. 
",0.45
97,"She's an enchanted foul mouthed bounty hunter who dreams of becoming Elvis. 
",0.45
98,"She's a cosmopolitan extravagent femme fatale with an incredible destiny. 
",0.45
99,"She's a transdimensional mute fairy princess who dreams of becoming Elvis.
",0.45
100,"She's a wealthy streetsmart vampire with the soul of a mighty warrior.
",0.45
101,"She's a tortured impetuous magician's assistant who dreams of becoming Elvis
",0.45
102,"She's a mistrustful communist hooker who dreams of becoming Elvis
",0.45
103,"She's a brilliant psychic archaeologist from a different time and place. 
",0.45
104,"She's a foxy motormouth angel who dreams of becoming Elvis. 
",0.45
105,"She's a mistrustful psychic bounty hunter who dreams of becoming Elvis. 
",0.45
106,"She's a vivacious tempestuous bounty hunter who dreams of becoming Elvis.
",0.45
107,"She's a provocative wisecracking cab driver who dreams of becoming Elvis,
",0.45
108,"She's a man hating Buddhist detective who dreams of becoming Elvis. 
",0.45
109,"She's a cosmopolitan extravagent archaeologist with an incredible destiny. 
",0.45
110,"She's a brilliant French Canadian wrestler with a flame thrower
",0.45
111,"She's a warm hearted paranoid nun descended from a line of powerful witches. 
",0.44999999999999996
112,"She's a radical cat loving archaeologist descended from a line of powerful witches. 
",0.44999999999999996
113,"She's a strong willed insomniac Hell's Angel who dreams of becoming Elvis
",0.44166666666666665
114,"She's a beautiful French Canadian schoolgirl who dreams of becoming Elvis.
",0.43333333333333335
115,"She's a strong willed renegade Hell's Angel with someone else's memories.
",0.4333333333333333
116,"She's a strong willed gypsy bounty hunter from out of town. 
",0.4333333333333333
117,"She's a strong willed nymphomaniac traffic cop with a song in her heart and a spring in her step. 
",0.4333333333333333
118,"She's a strong willed gold digging Hell's Angel with a flame thrower. 
",0.4333333333333333
119,"She's a strong willed cigar chomping politician fleeing from a Satanic cult. 
",0.4333333333333333
120,"She's a strong willed out of work opera singer in the witness protection scheme
",0.4333333333333333
121,"She's a strong willed wisecracking research scientist from beyond the grave 
",0.4333333333333333
122,"She's a strong willed insomniac soap star with an MBA from Harvard
",0.4333333333333333
123,"She's a strong willed renegade angel who can talk to animals. 
",0.4333333333333333
124,"She's a strong willed thirtysomething journalist with a song in her heart and a spring in her step. 
",0.4333333333333333
125,"She's a strong willed tempestuous bodyguard who can talk to animals
",0.4333333333333333
126,"She's a strong willed hip hop soap star from beyond the grave ,
",0.4333333333333333
127,"She's a strong willed insomniac angel fleeing from a Satanic cult. 
",0.4333333333333333
128,"She's a strong willed psychic research scientist prone to fits of savage, blood crazed rage. 
",0.4333333333333333
129,"She's a strong willed motormouth mercenary who believes she is the reincarnation of an ancient Egyptian queen
",0.4333333333333333
130,"She's a beautiful streetsmart stripper with only herself to blame. 
",0.425
131,"She's a pregnant tempestuous safe cracker living on borrowed time
",0.41666666666666663
132,"She's a pregnant streetsmart vampire from beyond the grave They fight crime!
",0.41666666666666663
133,"She's a brilliant insomniac single mother with a song in her heart and a spring in her step
",0.4142857142857143
134,"She's an artistic red headed mercenary with an incredible destiny.
",0.41111111111111115
135,"She's a plucky out of work soap star with the soul of a mighty warrior
",0.4
136,"She's a vivacious foul mouthed nun with the soul of a mighty warrior.
",0.4
137,"She's a plucky extravagent hooker with the soul of a mighty warrior
",0.4
138,"She's a virginal renegade widow with the soul of a mighty warrior
",0.4
139,"She's a virginal psychic museum curator with the soul of a mighty warrior. 
",0.4
140,"She's a mentally unstable foul mouthed bounty hunter with an incredible destiny. 
",0.4
141,"She's an elegant mutant research scientist descended from a line of powerful witches.
",0.4
142,"She's a foxy out of work bodyguard with the soul of a mighty warrior. 
",0.4
143,"She's an enchanted kleptomaniac soap star with the soul of a mighty warrior. 
",0.4
144,"She's an orphaned motormouth femme fatale with the soul of a mighty warrior. 
",0.4
145,"She's a vivacious Bolivian college professor with the soul of a mighty warrior.
",0.4
146,"She's a mistrustful renegade fairy princess with the soul of a mighty warrior.
",0.4
147,"She's a chain smoking paranoid mermaid with the soul of a mighty warrior.
",0.4
148,"She's a wealthy Bolivian traffic cop descended from a line of powerful witches
",0.4
149,"She's a strong willed winged former first lady with an incredible destiny.
",0.39583333333333337
150,"She's a pregnant wisecracking soap star who dreams of becoming Elvis
",0.39166666666666666
151,"She's a tortured cat loving lawyer from a family of eight older brothers.
",0.3833333333333333
152,"She's a brilliant extravagent former first lady with a song in her heart and a spring in her step
",0.3833333333333333
153,"She's a supernatural cat loving archaeologist fleeing from a Satanic cult. 
",0.3833333333333333
154,"She's a supernatural psychic bounty hunter with her own daytime radio talk show. 
",0.3833333333333333
155,"She's a wealthy Bolivian Valkyrie married to the Mob,
",0.375
156,"She's an elegant motormouth mermaid married to the Mob.
",0.375
157,"She's a warm hearted African American socialite with an incredible destiny. 
",0.375
158,"She's a warm hearted impetuous vampire living homeless in New York's sewers
",0.36818181818181817
159,"She's a warm hearted paranoid mechanic living homeless in New York's sewers,
",0.36818181818181817
160,"She's a warm hearted paranoid fairy princess living homeless in New York's sewers. 
",0.36818181818181817
161,"She's an artistic Bolivian widow with the soul of a mighty warrior.
",0.3666666666666667
162,"She's an artistic punk stripper with the soul of a mighty warrior. 
",0.3666666666666667
163,"She's a pregnant communist wrestler with the soul of a mighty warrior.
",0.3666666666666667
164,"She's a strong willed tempestuous nun descended from a line of powerful witches.
",0.36666666666666664
165,"She's a warm hearted red headed schoolgirl who dreams of becoming Elvis. 
",0.35000000000000003
166,"She's a brilliant psychic queen of the dead with someone else's memories. 
",0.35
167,"She's a brilliant winged lawyer with a knack for trouble. 
",0.35
168,"She's a brilliant hypochondriac soap star with a knack for trouble.
",0.35
169,"She's a sarcastic tempestuous fairy princess with her own daytime radio talk show. 
",0.35
170,"She's a scantily clad punk queen of the dead with an incredible destiny.
",0.35
171,"She's a strong willed paranoid mermaid married to the Mob
",0.3416666666666667
172,"She's a strong willed punk fairy princess married to the Mob.
",0.3416666666666667
173,"She's an artistic belly dancing snake charmer living on borrowed time.
",0.3333333333333333
174,"She's an artistic Bolivian advertising executive trying to make a difference in a man's world
",0.3333333333333333
175,"She's a pregnant punk soap star with someone else's memories
",0.3333333333333333
176,"She's a pregnant nymphomaniac bodyguard from beyond the grave 
",0.3333333333333333
177,"She's an artistic winged opera singer in the witness protection scheme. 
",0.3333333333333333
178,"She's a pregnant tomboy barmaid prone to fits of savage, blood crazed rage. 
",0.3333333333333333
179,"She's an artistic nymphomaniac snake charmer prone to fits of savage, blood crazed rage
",0.3333333333333333
180,"She's a pregnant thirtysomething nun with a song in her heart and a spring in her step
",0.3333333333333333
181,"She's an artistic motormouth Hell's Angel with the power to bend men's minds. 
",0.3333333333333333
182,"She's a pregnant paranoid mechanic prone to fits of savage, blood crazed rage
",0.3333333333333333
183,"She's an artistic goth mercenary with an MBA from Harvard
",0.3333333333333333
184,"She's a pregnant bisexual soap star with a song in her heart and a spring in her step
",0.3333333333333333
185,"She's a pregnant thirtysomething fairy princess with a song in her heart and a spring in her step,
",0.3333333333333333
186,"She's a pregnant mutant soap star with an MBA from Harvard. 
",0.3333333333333333
187,"She's an artistic mute fairy princess from out of town. 
",0.3333333333333333
188,"She's an artistic paranoid soap star from out of town
",0.3333333333333333
189,"She's a supernatural insomniac safe cracker who believes she is the reincarnation of an ancient Egyptian queen. 
",0.3333333333333333
190,"She's a pregnant hip hop socialite prone to fits of savage, blood crazed rage. 
",0.3333333333333333
191,"She's an artistic tomboy Valkyrie who can talk to animals. 
",0.3333333333333333
192,"She's a beautiful green skinned museum curator with a birthmark shaped like Liberty's torch. 
",0.32499999999999996
193,"She's a wealthy snooty schoolgirl living homeless in New York's sewers. 
",0.3181818181818182
194,"She's a beautiful Bolivian safe cracker from a secret island of warrior women. 
",0.3166666666666667
195,"She's a pregnant motormouth mermaid descended from a line of powerful witches.
",0.31666666666666665
196,"She's a pregnant motormouth archaeologist descended from a line of powerful witches
",0.31666666666666665
197,"She's a manipulative insomniac soap star descended from a line of powerful witches. 
",0.3
198,"She's a cosmopolitan communist bodyguard with her own daytime radio talk show,
",0.3
199,"She's a vivacious thirtysomething vampire descended from a line of powerful witches. 
",0.3
200,"She's a mistrustful goth hooker descended from a line of powerful witches. 
",0.3
201,"She's a radical thirtysomething doctor descended from a line of powerful witches.
",0.3
202,"She's a transdimensional streetsmart nun descended from a line of powerful witches.
",0.3
203,"She's a warm hearted bisexual bodyguard from a different time and place,
",0.3
204,"She's a plucky foul mouthed wrestler descended from a line of powerful witches
",0.3
205,"' She's an enchanted nymphomaniac journalist descended from a line of powerful witches
",0.3
206,"She's a time travelling French Canadian socialite with her own daytime radio talk show. 
",0.3
207,"She's an enchanted renegade snake charmer descended from a line of powerful witches. 
",0.3
208,"She's an enchanted goth pearl diver descended from a line of powerful witches
",0.3
209,"She's a chain smoking gold digging mercenary descended from a line of powerful witches. 
",0.3
210,"She's a vivacious paranoid vampire descended from a line of powerful witches. 
",0.3
211,"She's a manipulative bisexual stripper descended from a line of powerful witches. 
",0.3
212,"She's a man hating communist journalist descended from a line of powerful witches
",0.3
213,"She's a brilliant antique collecting hooker looking for love in all the wrong places. 
",0.3
214,"She's a vivacious cat loving former first lady with the power to bend men's minds
",0.2833333333333333
215,"She's a scantily clad psychic former first lady with her own daytime radio talk show.
",0.2833333333333333
216,"She's a beautiful African American traffic cop in the witness protection scheme
",0.2833333333333333
217,"She's a supernatural tomboy traffic cop with the soul of a mighty warrior
",0.2833333333333333
218,"She's a brilliant gypsy queen of the dead living homeless in New York's sewers.
",0.27878787878787875
219,"She's a sarcastic out of work hooker who dreams of becoming Elvis
",0.275
220,"She's a beautiful punk queen of the dead from a family of eight older brothers. 
",0.2722222222222222
221,"She's an elegant blonde mercenary descended from a line of powerful witches.
",0.26666666666666666
222,"She's a warm hearted bisexual single mother on the trail of a serial killer
",0.2642857142857143
223,"She's a pregnant gypsy former first lady who dreams of becoming Elvis. 
",0.2583333333333333
224,"She's an artistic foul mouthed snake charmer from a family of eight older brothers. 
",0.25
225,"She's a transdimensional impetuous journalist married to the Mob. 
",0.25
226,"She's a scantily clad hypochondriac widow married to the Mob.
",0.25
227,"She's a wealthy blonde magician's assistant with the power to see death. 
",0.25
228,"She's an elegant winged former first lady with the power to see death. 
",0.25
229,"She's a tortured thirtysomething bounty hunter married to the Mob.
",0.25
230,"She's an orphaned bisexual safe cracker from aristocratic European stock. 
",0.25
231,"She's a scantily clad belly dancing lawyer married to the Mob
",0.25
232,"She's an elegant communist Hell's Angel from a different time and place
",0.25
233,"She's a wealthy thirtysomething mermaid with only herself to blame. 
",0.25
234,"She's an elegant foul mouthed lawyer from a different time and place. 
",0.25
235,"She's a time travelling winged soap star married to the Mob. 
",0.25
236,"She's a pregnant mute angel from a family of eight older brothers. 
",0.25
237,"She's an elegant red headed doctor married to the Mob. 
",0.25
238,"She's an elegant blonde traffic cop in the witness protection scheme. 
",0.25
239,"She's an enchanted mute angel married to the Mob.
",0.25
240,"She's an elegant motormouth detective from a different time and place. 
",0.25
241,"She's a vivacious nymphomaniac politician married to the Mob. 
",0.25
242,"She's an enchanted motormouth archaeologist married to the Mob
",0.25
243,"She's a time travelling belly dancing museum curator married to the Mob. 
",0.25
244,"She's an artistic winged research scientist living homeless in New York's sewers. 
",0.23484848484848483
245,"She's an artistic mutant cab driver living homeless in New York's sewers
",0.23484848484848483
246,"She's a sarcastic French Canadian college professor with her own daytime radio talk show
",0.2333333333333333
247,"She's a high kicking renegade vampire descended from a line of powerful witches. 
",0.22999999999999998
248,"She's a pregnant thirtysomething soap star who don't take no shit from nobody. 
",0.21666666666666667
249,"She's a strong willed out of work pearl diver from a different time and place. 
",0.21666666666666665
250,"She's a strong willed blonde schoolgirl on her way to prison for a murder she didn't commit
",0.21666666666666665
251,"She's a wealthy renegade former first lady who don't take no shit from nobody
",0.2125
252,"She's a pregnant French Canadian bounty hunter descended from a line of powerful witches
",0.2111111111111111
253,"She's a strong willed mute safe cracker who inherited a spooky stately manor from her late maiden aunt.
",0.2111111111111111
254,"She's a high kicking motormouth advertising executive married to the Mob. 
",0.20500000000000002
255,"She's a sarcastic antique collecting former first lady who dreams of becoming Elvis. 
",0.2
256,"She's a blind kleptomaniac schoolgirl with an incredible destiny. 
",0.2
257,"She's a provocative red headed hooker with the soul of a mighty warrior.
",0.2
258,"She's a brilliant tempestuous snake charmer operating on the wrong side of the law.
",0.2
259,"She's a blind tempestuous cab driver with an incredible destiny,
",0.2
260,"She's a vivacious blonde Valkyrie with the soul of a mighty warrior.
",0.2
261,"She's a green fingered tomboy angel with her own daytime radio talk show
",0.19999999999999998
262,"She's a scantily clad cat loving vampire with a knack for trouble
",0.19999999999999998
263,"She's a green fingered streetsmart lawyer with her own daytime radio talk show.
",0.19999999999999998
264,"She's a transdimensional renegade single mother who dreams of becoming Elvis
",0.18928571428571428
265,"She's a beautiful African American stripper looking for love in all the wrong places
",0.17
266,"She's an artistic French Canadian bounty hunter with the power to see death. 
",0.16666666666666666
267,"She's a supernatural wisecracking mechanic with an MBA from Harvard. 
",0.16666666666666666
268,"She's an artistic French Canadian cab driver on her way to prison for a murder she didn't commit.
",0.16666666666666666
269,"She's a transdimensional gypsy safe cracker looking for love in all the wrong places. 
",0.16666666666666666
270,"She's a supernatural junkie nun with a flame thrower.
",0.16666666666666666
271,"She's a supernatural impetuous stripper with an MBA from Harvard. 
",0.16666666666666666
272,"She's a pregnant blonde hooker on the trail of a serial killer
",0.16666666666666666
273,"She's a manipulative foul mouthed snake charmer from a family of eight older brothers. 
",0.16666666666666666
274,"She's a wealthy African American schoolgirl on her way to prison for a murder she didn't commit. 
",0.16666666666666666
275,"She's a plucky mute mechanic from a family of eight older brothers. 
",0.16666666666666666
276,"She's a supernatural antique collecting nun trying to make a difference in a man's world
",0.16666666666666666
277,"She's a supernatural bisexual nun fleeing from a Satanic cult. 
",0.16666666666666666
278,"She's a pregnant red headed magician's assistant with a flame thrower.
",0.16666666666666666
279,"She's a supernatural paranoid snake charmer on the trail of a serial killer. 
",0.16666666666666666
280,"She's a pregnant thirtysomething barmaid from a different time and place.
",0.16666666666666666
281,"She's a chain smoking wisecracking mermaid from a family of eight older brothers.
",0.16666666666666666
282,"She's an elegant French Canadian barmaid from aristocratic European stock. 
",0.16666666666666666
283,"She's a supernatural insomniac socialite with a flame thrower. 
",0.16666666666666666
284,"She's an artistic winged advertising executive from a different time and place. 
",0.16666666666666666
285,"She's a supernatural Bolivian mercenary trying to make a difference in a man's world. 
",0.16666666666666666
286,"She's a wealthy African American mermaid from out of town.
",0.16666666666666666
287,"She's a provocative belly dancing safe cracker looking for love in all the wrong places,
",0.16666666666666666
288,"She's a transdimensional renegade safe cracker looking for love in all the wrong places. 
",0.16666666666666666
289,"She's a supernatural insomniac femme fatale in the witness protection scheme.
",0.16666666666666666
290,"She's an elegant African American cab driver fleeing from a Satanic cult.
",0.16666666666666666
291,"She's a time travelling winged femme fatale from a family of eight older brothers. 
",0.16666666666666666
292,"She's a supernatural mutant nun with the power to see death. 
",0.16666666666666666
293,"She's a high kicking mute socialite from a family of eight older brothers.
",0.16333333333333333
294,"She's a beautiful communist safe cracker who hides her beauty behind a pair of thick framed spectacles. 
",0.1625
295,"She's a sharp shooting belly dancing mermaid who dreams of becoming Elvis
",0.1625
296,"She's a high kicking Buddhist cab driver on her way to prison for a murder she didn't commit
",0.16
297,"She's a high kicking mute politician with someone else's memories,
",0.16
298,"She's a high kicking snooty stripper living on borrowed time. 
",0.16
299,"She's a high kicking antique collecting college professor with a birthmark shaped like Liberty's torch.
",0.16
300,"She's a high kicking motormouth stripper from beyond the grave ,
",0.16
301,"She's a high kicking cigar chomping opera singer on the trail of a serial killer.
",0.16
302,"She's a high kicking Buddhist barmaid from out of town. 
",0.16
303,"She's an artistic blonde Hell's Angel living homeless in New York's sewers,
",0.15656565656565655
304,"She's a supernatural renegade mercenary living homeless in New York's sewers. 
",0.1515151515151515
305,"She's a cynical Buddhist journalist with an incredible destiny. 
",0.15000000000000002
306,"She's a cynical mute bodyguard with an incredible destiny
",0.15000000000000002
307,"She's a warm hearted French Canadian journalist looking for love in all the wrong places.
",0.15000000000000002
308,"She's a cold hearted snooty bodyguard with an incredible destiny. 
",0.15000000000000002
309,"She's a ditzy cigar chomping safe cracker with a knack for trouble.
",0.15
310,"She's a wealthy green skinned stripper from beyond the grave
",0.15
311,"She's a warm hearted hip hop advertising executive who inherited a spooky stately manor from her late maiden aunt
",0.15
312,"She's an elegant out of work former first lady looking for love in all the wrong places. 
",0.15
313,"She's a cosmopolitan mutant fairy princess descended from a line of powerful witches. 
",0.15
314,"She's an elegant wisecracking queen of the dead with a song in her heart and a spring in her step. 
",0.15
315,"She's an elegant wisecracking queen of the dead from out of town. 
",0.15
316,"She's a high kicking punk Valkyrie living homeless in New York's sewers.
",0.1481818181818182
317,"She's a high kicking mute detective living homeless in New York's sewers
",0.1481818181818182
318,"She's a strong willed tomboy femme fatale looking for love in all the wrong places,
",0.14444444444444446
319,"She's an artistic green skinned Valkyrie descended from a line of powerful witches. 
",0.14444444444444443
320,"She's a sharp shooting mutant college professor with the soul of a mighty warrior.
",0.1375
321,"She's a tortured foul mouthed magician's assistant living homeless in New York's sewers.
",0.13636363636363635
322,"She's a scantily clad bisexual mechanic living homeless in New York's sewers. 
",0.13636363636363635
323,"She's a provocative communist soap star living homeless in New York's sewers. 
",0.13636363636363635
324,"She's a manipulative psychic mermaid living homeless in New York's sewers.
",0.13636363636363635
325,"She's a plucky tomboy museum curator living homeless in New York's sewers.
",0.13636363636363635
326,"She's a time travelling snooty pearl diver living homeless in New York's sewers
",0.13636363636363635
327,"She's a ditzy insomniac museum curator living homeless in New York's sewers
",0.13636363636363635
328,"She's a brilliant red headed nun operating on the wrong side of the law.
",0.13333333333333333
329,"She's a supernatural junkie journalist who don't take no shit from nobody. 
",0.13333333333333333
330,"She's a high kicking cigar chomping mermaid who don't take no shit from nobody.
",0.13
331,"She's a foxy African American former first lady with the soul of a mighty warrior
",0.13
332,"She's an artistic green skinned archaeologist married to the Mob.
",0.12777777777777777
333,"She's a chain smoking mutant queen of the dead who dreams of becoming Elvis.
",0.125
334,"She's a foxy mute former first lady with a birthmark shaped like Liberty's torch
",0.125
335,"She's a manipulative gypsy former first lady with the power to bend men's minds.
",0.125
336,"She's a vivacious extravagent former first lady from Mars
",0.125
337,"She's a cosmopolitan cigar chomping pearl diver married to the Mob
",0.125
338,"She's a high kicking punk queen of the dead with the soul of a mighty warrior. 
",0.12
339,"She's a sarcastic wisecracking former first lady who can talk to animals. 
",0.11666666666666665
340,"She's a strong willed green skinned schoolgirl in the witness protection scheme
",0.11666666666666664
341,"She's a strong willed green skinned stripper fleeing from a Satanic cult. 
",0.11666666666666664
342,"She's a green fingered cat loving single mother trying to make a difference in a man's world
",0.10952380952380951
343,"She's a sharp shooting red headed traffic cop who dreams of becoming Elvis. 
",0.10833333333333334
344,"She's a cynical blonde Hell's Angel with an incredible destiny
",0.10000000000000002
345,"She's a sarcastic insomniac snake charmer with a birthmark shaped like Liberty's torch
",0.1
346,"She's a sarcastic impetuous soap star who can talk to animals,
",0.1
347,"She's an orphaned foul mouthed research scientist who don't take no shit from nobody.
",0.1
348,"She's a ditzy Buddhist socialite who don't take no shit from nobody. 
",0.1
349,"She's a sarcastic winged detective with a birthmark shaped like Liberty's torch. 
",0.1
350,"She's a sarcastic belly dancing widow who don't take no shit from nobody. 
",0.1
351,"She's a sarcastic wisecracking snake charmer from out of town. 
",0.1
352,"She's a sarcastic bisexual cab driver with an MBA from Harvard
",0.1
353,"She's a brilliant African American research scientist operating on the wrong side of the law. 
",0.1
354,"She's a sarcastic belly dancing bodyguard fleeing from a Satanic cult. 
",0.1
355,"She's an elegant mute cab driver who inherited a spooky stately manor from her late maiden aunt.
",0.1
356,"She's a time travelling communist Valkyrie who don't take no shit from nobody. 
",0.1
357,"She's a sarcastic bisexual snake charmer who believes she is the reincarnation of an ancient Egyptian queen,
",0.1
358,"She's a sarcastic hypochondriac journalist trying to make a difference in a man's world. 
",0.1
359,"She's a vivacious kleptomaniac soap star who don't take no shit from nobody. 
",0.1
360,"She's a sarcastic renegade bodyguard from beyond the grave 
",0.1
361,"She's a sarcastic antique collecting snake charmer prone to fits of savage, blood crazed rage. 
",0.1
362,"She's a chain smoking snooty queen of the dead with the soul of a mighty warrior
",0.1
363,"She's a mentally unstable out of work pearl diver descended from a line of powerful witches
",0.09999999999999999
364,"She's a warm hearted winged archaeologist from a secret island of warrior women. 
",0.09999999999999998
365,"She's a man hating cigar chomping single mother married to the Mob. 
",0.08928571428571429
366,"She's a sharp shooting gold digging angel descended from a line of powerful witches. 
",0.0875
367,"She's a sharp shooting streetsmart magician's assistant descended from a line of powerful witches
",0.0875
368,"She's a supernatural communist doctor from aristocratic European stock.
",0.08333333333333333
369,"She's a man hating red headed nun from a family of eight older brothers
",0.08333333333333333
